number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_size,params_learning_rate,params_num_epochs,params_num_layers,state
0,2.050108474927233,2024-04-19 21:49:38.623972,2024-04-19 21:50:20.430295,0 days 00:00:41.806323,64,64,0.00033983207671253165,150,3,COMPLETE
1,1.5220751584760401,2024-04-19 21:50:20.431279,2024-04-19 21:50:43.684450,0 days 00:00:23.253171,64,32,0.030882347672182727,162,2,COMPLETE
2,2.275269127207876,2024-04-19 21:50:43.685127,2024-04-19 21:50:47.003300,0 days 00:00:03.318173,128,32,1.4408672937635052e-05,68,1,COMPLETE
3,2.4448384594443615,2024-04-19 21:50:47.003697,2024-04-19 21:51:59.587879,0 days 00:01:12.584182,32,256,0.0026512990484985908,70,2,COMPLETE
4,2.598554833835324,2024-04-19 21:51:59.588242,2024-04-19 21:54:08.331514,0 days 00:02:08.743272,64,256,0.006984878346278543,144,2,COMPLETE
5,1.833464781180123,2024-04-19 21:54:08.332677,2024-04-19 21:54:26.528202,0 days 00:00:18.195525,32,32,2.5152507120881592e-05,121,1,COMPLETE
6,2.1639145216404994,2024-04-19 21:54:26.528689,2024-04-19 21:57:00.549814,0 days 00:02:34.021125,64,128,6.668709370247009e-05,280,3,PRUNED
7,2.2238956729307864,2024-04-19 21:57:00.550834,2024-04-19 21:57:43.061236,0 days 00:00:42.510402,32,64,0.002192055203267875,236,1,PRUNED
8,1.3109108419607807,2024-04-19 21:57:43.062324,2024-04-19 21:59:06.384963,0 days 00:01:23.322639,64,128,3.069924923491536e-05,243,2,COMPLETE
9,1.515072408575096,2024-04-19 21:59:06.385694,2024-04-19 21:59:20.573935,0 days 00:00:14.188241,32,128,0.0006775975065565133,59,1,COMPLETE
10,2.5383685171998893,2024-04-19 21:59:20.574308,2024-04-19 22:00:56.326286,0 days 00:01:35.751978,128,128,0.0001607790679891794,214,3,PRUNED
11,2.485738722693841,2024-04-19 22:00:56.327106,2024-04-19 22:02:09.990124,0 days 00:01:13.663018,32,128,0.0006430253683416133,283,1,PRUNED
12,1.9620037817797122,2024-04-19 22:02:09.991009,2024-04-19 22:03:25.786851,0 days 00:01:15.795842,64,128,8.158896401401794e-05,214,2,PRUNED
13,1.519304930611162,2024-04-19 22:03:25.787659,2024-04-19 22:03:53.239007,0 days 00:00:27.451348,32,128,0.09515511714521276,104,1,COMPLETE
14,3.16367369456007,2024-04-19 22:03:53.240217,2024-04-19 22:05:07.618289,0 days 00:01:14.378072,128,128,0.010834412827826519,237,2,PRUNED
15,1.6602261361696862,2024-04-19 22:05:07.619135,2024-04-19 22:05:36.798880,0 days 00:00:29.179745,64,128,1.0738967994631696e-05,179,1,COMPLETE
16,3.2096713100837553,2024-04-19 22:05:36.799230,2024-04-19 22:07:52.281598,0 days 00:02:15.482368,32,128,0.00032397613675500377,192,3,PRUNED
17,1.2723050224070518,2024-04-19 22:07:52.282522,2024-04-19 22:08:50.850457,0 days 00:00:58.567935,32,256,4.57843412078929e-05,51,2,COMPLETE
18,2.904225567476639,2024-04-19 22:08:50.850998,2024-04-19 22:13:31.087265,0 days 00:04:40.236267,64,256,4.1218573226415605e-05,299,2,PRUNED
19,1.8009168992768854,2024-04-19 22:13:31.088353,2024-04-19 22:14:41.845390,0 days 00:01:10.757037,128,256,0.00014179777649530703,95,2,PRUNED
20,2.9076184755919,2024-04-19 22:14:41.845657,2024-04-19 22:23:46.009108,0 days 00:09:04.163451,32,256,3.2332951937780476e-05,258,3,PRUNED
21,1.7371368378203436,2024-04-19 22:23:46.010596,2024-04-19 22:24:05.771249,0 days 00:00:19.760653,32,64,0.0006655666470398663,63,2,PRUNED
22,2.4172396246171157,2024-04-19 22:24:05.772051,2024-04-19 22:25:06.669178,0 days 00:01:00.897127,32,256,0.0017338186436888414,53,2,PRUNED
23,1.361932996724615,2024-04-19 22:25:06.670146,2024-04-19 22:25:30.431874,0 days 00:00:23.761728,32,128,0.00018102597097521006,93,1,COMPLETE
24,1.6906235178574822,2024-04-19 22:25:30.432879,2024-04-19 22:26:13.170031,0 days 00:00:42.737152,32,128,0.00012153217617877797,89,2,PRUNED
25,1.6676316401816362,2024-04-19 22:26:13.170846,2024-04-19 22:26:58.812535,0 days 00:00:45.641689,64,256,0.00027114854178648734,122,1,PRUNED
26,1.7485050539307245,2024-04-19 22:26:58.813518,2024-04-19 22:27:20.597086,0 days 00:00:21.783568,32,32,1.9458739680061683e-05,84,2,PRUNED
27,1.2142596062445483,2024-04-19 22:27:20.597915,2024-04-19 22:28:04.579229,0 days 00:00:43.981314,32,64,5.911979921762893e-05,108,3,COMPLETE
28,1.3088631712048258,2024-04-19 22:28:04.579575,2024-04-19 22:28:27.661220,0 days 00:00:23.081645,128,64,5.170770698696558e-05,116,3,COMPLETE
29,1.2911397041863952,2024-04-19 22:28:27.662264,2024-04-19 22:28:55.305814,0 days 00:00:27.643550,128,64,4.8798165166465705e-05,137,3,COMPLETE
30,1.2564313543553385,2024-04-19 22:28:55.306870,2024-04-19 22:29:22.378047,0 days 00:00:27.071177,128,64,7.902562084889124e-05,137,3,COMPLETE
31,1.2689029856233407,2024-04-19 22:29:22.379167,2024-04-19 22:29:51.251122,0 days 00:00:28.871955,128,64,6.471291102518267e-05,142,3,COMPLETE
32,1.2408062493564278,2024-04-19 22:29:51.251714,2024-04-19 22:30:22.077666,0 days 00:00:30.825952,128,64,8.820541328814896e-05,156,3,COMPLETE
33,1.2304934949274884,2024-04-19 22:30:22.079167,2024-04-19 22:30:53.445145,0 days 00:00:31.365978,128,64,9.464216970675079e-05,164,3,COMPLETE
34,1.2308039022597257,2024-04-19 22:30:53.445463,2024-04-19 22:31:28.125029,0 days 00:00:34.679566,128,64,0.00010352365523525424,159,3,COMPLETE
35,1.6342379995529224,2024-04-19 22:31:28.126077,2024-04-19 22:32:00.912676,0 days 00:00:32.786599,128,64,0.00027712031959906656,165,3,PRUNED
36,1.2298733429403494,2024-04-19 22:32:00.913130,2024-04-19 22:32:40.658292,0 days 00:00:39.745162,128,64,0.00010244971112846915,184,3,COMPLETE
37,1.5972670523536125,2024-04-19 22:32:40.659262,2024-04-19 22:33:18.536882,0 days 00:00:37.877620,128,64,1.605397317843078e-05,188,3,PRUNED
38,1.960355447775481,2024-04-19 22:33:18.537800,2024-04-19 22:34:15.100077,0 days 00:00:56.562277,128,64,0.0005230951646521021,165,3,PRUNED
39,2.775152890887482,2024-04-19 22:34:15.100955,2024-04-19 22:34:55.254232,0 days 00:00:40.153277,128,64,0.005118454524922909,204,3,PRUNED
40,2.4976813783708787,2024-04-19 22:34:55.255285,2024-04-19 22:35:50.501740,0 days 00:00:55.246455,128,64,0.0010396759443254346,175,3,PRUNED
41,1.2526109625961608,2024-04-19 22:35:50.502693,2024-04-19 22:36:34.485080,0 days 00:00:43.982387,128,64,9.756929181486427e-05,165,3,COMPLETE
42,1.3257360201008273,2024-04-19 22:36:34.486071,2024-04-19 22:37:25.494575,0 days 00:00:51.008504,128,64,0.00018410796379467688,154,3,PRUNED
