number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_size,params_learning_rate,params_num_epochs,params_num_layers,state
0,0.6898877712275018,2024-04-20 01:15:53.704170,2024-04-20 01:18:01.944979,0 days 00:02:08.240809,32,128,2.4504999330005602e-05,282,2,COMPLETE
1,0.61649646901137,2024-04-20 01:18:01.946352,2024-04-20 01:18:14.346223,0 days 00:00:12.399871,64,64,0.07589645604999486,123,1,COMPLETE
2,2.184993998262266,2024-04-20 01:18:14.346556,2024-04-20 01:19:29.958339,0 days 00:01:15.611783,64,64,1.0513514549405587e-05,297,3,COMPLETE
3,0.8142768910389073,2024-04-20 01:19:29.959490,2024-04-20 01:22:22.769123,0 days 00:02:52.809633,32,128,0.00025651043615385196,255,3,COMPLETE
4,0.5869062468902955,2024-04-20 01:22:22.772008,2024-04-20 01:22:44.108582,0 days 00:00:21.336574,128,64,0.017219328088073332,117,3,COMPLETE
5,0.5737255146171873,2024-04-20 01:22:44.109232,2024-04-20 01:24:13.447948,0 days 00:01:29.338716,64,128,0.028457659636999224,182,3,COMPLETE
6,0.7668694178789657,2024-04-20 01:24:13.449077,2024-04-20 01:25:42.806330,0 days 00:01:29.357253,32,32,0.0005719152630289315,266,3,PRUNED
7,0.7614021122060864,2024-04-20 01:25:42.809338,2024-04-20 01:27:34.527246,0 days 00:01:51.717908,32,128,0.0001739254253765141,249,2,PRUNED
8,0.6238890876635811,2024-04-20 01:27:34.527729,2024-04-20 01:28:50.084283,0 days 00:01:15.556554,64,128,0.05092818879794096,150,3,COMPLETE
9,0.9096481907051921,2024-04-20 01:28:50.085421,2024-04-20 01:29:22.843996,0 days 00:00:32.758575,32,32,0.00010662992559676386,86,3,PRUNED
10,0.6193839452914055,2024-04-20 01:29:22.845190,2024-04-20 01:29:49.197837,0 days 00:00:26.352647,128,128,0.004442162450974326,202,1,COMPLETE
11,0.5553444463685648,2024-04-20 01:29:49.198467,2024-04-20 01:29:56.273355,0 days 00:00:07.074888,128,64,0.007408353781754719,51,2,COMPLETE
12,0.5784302072414499,2024-04-20 01:29:56.273680,2024-04-20 01:30:03.529662,0 days 00:00:07.255982,128,64,0.004184091445137265,56,2,COMPLETE
13,0.6391908934574254,2024-04-20 01:30:03.530273,2024-04-20 01:30:30.888681,0 days 00:00:27.358408,128,64,0.006900520294803761,195,2,PRUNED
14,0.6032652158216135,2024-04-20 01:30:30.889554,2024-04-20 01:30:44.082953,0 days 00:00:13.193399,64,32,0.018236000154590103,158,1,COMPLETE
15,0.7178238069774299,2024-04-20 01:30:44.083302,2024-04-20 01:31:46.086707,0 days 00:01:02.003405,128,128,0.0015719224013854415,221,2,PRUNED
16,0.5671863925772787,2024-04-20 01:31:46.087629,2024-04-20 01:31:57.040596,0 days 00:00:10.952967,64,64,0.020339597520779237,60,2,COMPLETE
17,0.5554475061940831,2024-04-20 01:31:57.040987,2024-04-20 01:32:04.657238,0 days 00:00:07.616251,128,64,0.0010881210743723076,57,2,COMPLETE
18,0.600159581804907,2024-04-20 01:32:04.657559,2024-04-20 01:32:17.662032,0 days 00:00:13.004473,128,64,0.0010668481101497342,99,2,COMPLETE
19,0.619957742075257,2024-04-20 01:32:17.662642,2024-04-20 01:32:23.460620,0 days 00:00:05.797978,128,64,0.0021417137900947487,80,1,PRUNED
20,0.5601362749243414,2024-04-20 01:32:23.460875,2024-04-20 01:32:30.147496,0 days 00:00:06.686621,128,64,0.000511112853468878,51,2,COMPLETE
21,0.547080003267882,2024-04-20 01:32:30.147832,2024-04-20 01:32:36.452738,0 days 00:00:06.304906,128,64,0.0004323565222822127,50,2,COMPLETE
22,3.0751058182179536,2024-04-20 01:32:36.453086,2024-04-20 01:32:46.743804,0 days 00:00:10.290718,128,64,6.664097565470748e-05,77,2,PRUNED
23,0.6237477675968448,2024-04-20 01:32:46.744050,2024-04-20 01:33:01.275005,0 days 00:00:14.530955,128,64,0.007577242692938824,111,2,PRUNED
24,1.0085022725016866,2024-04-20 01:33:01.275251,2024-04-20 01:33:06.239219,0 days 00:00:04.963968,128,64,0.00047767656098185956,72,1,PRUNED
25,0.6206941453036883,2024-04-20 01:33:06.239454,2024-04-20 01:33:18.559760,0 days 00:00:12.320306,128,64,0.0028004025529384893,97,2,PRUNED
26,0.6534801596837327,2024-04-20 01:33:18.560001,2024-04-20 01:33:30.365705,0 days 00:00:11.805704,128,32,0.0012221447823854857,139,2,PRUNED
27,3.460667973006798,2024-04-20 01:33:30.365930,2024-04-20 01:33:34.007073,0 days 00:00:03.641143,128,64,0.00026492110266785007,51,1,PRUNED
28,0.5576068810082428,2024-04-20 01:33:34.007307,2024-04-20 01:33:42.866309,0 days 00:00:08.859002,128,64,0.0006837814387392505,69,2,COMPLETE
29,3.6247691599738525,2024-04-20 01:33:42.866769,2024-04-20 01:33:56.965155,0 days 00:00:14.098386,128,64,4.624870690081439e-05,97,2,PRUNED
30,6.497763577518084,2024-04-20 01:33:56.965487,2024-04-20 01:34:04.699293,0 days 00:00:07.733806,128,32,2.9774555187246087e-05,91,2,PRUNED
31,0.5635487146724929,2024-04-20 01:34:04.699637,2024-04-20 01:34:13.501235,0 days 00:00:08.801598,128,64,0.0005137949678921115,67,2,COMPLETE
32,0.5616311724612254,2024-04-20 01:34:13.501584,2024-04-20 01:34:22.713627,0 days 00:00:09.212043,128,64,0.0008913336515271183,71,2,COMPLETE
33,0.5559845301489166,2024-04-20 01:34:22.713942,2024-04-20 01:34:39.621417,0 days 00:00:16.907475,128,64,0.00017211080233078675,132,2,COMPLETE
34,0.7414811344336201,2024-04-20 01:34:39.621737,2024-04-20 01:35:00.083748,0 days 00:00:20.462011,32,64,0.00013465113036106407,130,1,PRUNED
35,0.5614364383236462,2024-04-20 01:35:00.083968,2024-04-20 01:35:14.182566,0 days 00:00:14.098598,128,64,0.0002747457119879121,111,2,COMPLETE
36,0.6376939541456715,2024-04-20 01:35:14.182938,2024-04-20 01:35:34.249470,0 days 00:00:20.066532,128,64,8.638722495400758e-05,156,2,PRUNED
37,0.5808340260129891,2024-04-20 01:35:34.249733,2024-04-20 01:36:21.861838,0 days 00:00:47.612105,64,64,0.09678297469572383,176,3,PRUNED
38,2.4388333641140667,2024-04-20 01:36:21.862679,2024-04-20 01:36:55.602985,0 days 00:00:33.740306,32,64,1.6671523633881213e-05,116,2,PRUNED
